iter	Passed	Remaining
0	975	974152
1	1331	664591
2	1503	499565
3	1668	415563
4	1841	366371
5	2020	334736
6	2191	310839
7	2356	292188
8	2522	277753
9	2694	266786
10	2860	257177
11	3031	249602
12	3201	243034
13	3364	236929
14	3528	231726
15	3694	227237
16	3866	223561
17	4035	220150
18	4210	217380
19	4400	215609
20	4601	214518
21	4807	213701
22	5008	212769
23	5237	212972
24	5431	211824
25	5622	210623
26	5811	209420
27	6002	208356
28	6173	206715
29	6455	208720
30	6705	209600
31	6946	210120
32	7183	210501
33	7433	211188
34	7670	211484
35	7934	212467
36	8116	211243
37	8315	210523
38	8520	209963
39	8839	212138
40	9036	211362
41	9216	210213
42	9436	210020
43	9643	209537
44	9821	208429
45	9995	207288
46	10167	206166
47	10338	205042
48	10511	204016
49	10680	202933
50	10844	201794
51	11011	200755
52	11177	199714
53	11359	199004
54	11558	198592
55	11722	197604
56	11890	196721
57	12063	195925
58	12233	195118
59	12399	194264
60	12569	193487
61	12741	192767
62	12913	192062
63	13079	191281
64	13246	190546
65	13417	189884
66	13585	189188
67	13749	188445
68	13923	187864
69	14086	187143
70	14247	186424
71	14414	185791
72	14585	185221
73	14760	184704
74	14927	184109
75	15095	183523
76	15261	182943
77	15433	182433
78	15595	181820
79	15775	181422
80	15987	181392
81	16153	180845
82	16320	180311
83	16489	179811
84	16667	179423
85	16851	179090
86	17026	178681
87	17195	178211
88	17364	177743
89	17528	177231
90	17696	176772
91	17859	176266
92	18029	175833
93	18194	175367
94	18357	174882
95	18527	174468
96	18694	174032
97	18861	173603
98	19024	173146
99	19191	172724
100	19362	172343
101	19535	171986
102	19707	171626
103	19876	171245
104	20042	170842
105	20209	170447
106	20374	170042
107	20541	169660
108	20709	169287
109	20874	168897
110	21045	168550
111	21209	168162
112	21377	167800
113	21546	167460
114	21724	167184
115	21894	166847
116	22058	166472
117	22226	166134
118	22387	165743
119	22553	165390
120	22719	165048
121	22889	164726
122	23053	164376
123	23218	164026
124	23384	163694
125	23557	163409
126	23721	163061
127	23881	162695
128	24044	162344
129	24215	162057
130	24383	161748
131	24550	161437
132	24715	161114
133	24876	160768
134	25041	160450
135	25203	160116
136	25373	159833
137	25541	159540
138	25707	159241
139	25870	158921
140	26035	158610
141	26202	158322
142	26371	158044
143	26543	157784
144	26714	157523
145	26886	157267
146	27056	157000
147	27225	156730
148	27387	156419
149	27558	156165
150	27724	155883
151	27897	155636
152	28067	155377
153	28238	155126
154	28407	154866
155	28569	154570
156	28738	154309
157	28905	154042
158	29083	153833
159	29252	153578
160	29420	153313
161	29597	153102
162	29766	152849
163	29940	152623
164	30108	152366
165	30274	152100
166	30448	151880
167	30617	151630
168	30791	151405
169	30960	151159
170	31133	150932
171	31301	150682
172	31477	150474
173	31653	150263
174	31826	150040
175	32019	149909
176	32192	149684
177	32367	149472
178	32540	149250
179	32718	149051
180	32890	148823
181	33065	148613
182	33240	148402
183	33426	148239
184	33604	148040
185	33782	147843
186	33960	147644
187	34139	147451
188	34313	147239
189	34486	147019
190	34706	147001
191	34901	146875
192	35105	146787
193	35280	146575
194	35449	146343
195	35625	146139
196	35799	145924
197	35975	145719
198	36158	145541
199	36334	145337
200	36503	145103
201	36674	144882
202	36845	144659
203	37014	144430
204	37195	144247
205	37422	144239
206	37615	144101
207	37788	143888
208	37960	143668
209	38169	143590
210	38364	143459
211	38567	143355
212	38774	143267
213	38950	143060
214	39141	142912
215	39317	142708
216	39495	142512
217	39668	142297
218	39855	142132
219	40036	141947
220	40210	141735
221	40391	141553
222	40572	141366
223	40747	141162
224	40917	140938
225	41089	140721
226	41259	140500
227	41435	140297
228	41605	140076
229	41781	139876
230	41949	139649
231	42123	139444
232	42292	139219
233	42475	139044
234	42661	138877
235	42843	138695
236	43031	138536
237	43204	138328
238	43381	138131
239	43555	137925
240	43731	137728
241	43898	137499
242	44067	137279
243	44238	137065
244	44442	136955
245	44628	136789
246	44797	136568
247	44964	136344
248	45140	136147
249	45320	135961
250	45515	135822
251	45733	135748
252	45914	135565
253	46085	135354
254	46261	135155
255	46435	134952
256	46603	134732
257	46778	134533
258	46945	134312
259	47117	134103
260	47287	133889
261	47459	133684
262	47633	133481
263	47809	133287
264	47983	133086
265	48168	132915
266	48347	132730
267	48523	132535
268	48698	132337
269	48874	132140
270	49055	131960
271	49237	131781
272	49412	131584
273	49581	131374
274	49755	131173
275	49934	130988
276	50108	130789
277	50279	130582
278	50451	130377
279	50632	130197
280	50805	129998
281	50976	129792
282	51153	129601
283	51329	129408
284	51502	129208
285	51680	129020
286	51861	128840
287	52034	128640
288	52214	128459
289	52383	128248
290	52562	128063
291	52743	127884
292	52919	127692
293	53088	127485
294	53263	127289
295	53437	127094
296	53608	126891
297	53780	126690
298	53969	126530
299	54144	126337
300	54322	126150
301	54502	125969
302	54670	125759
303	54839	125554
304	55014	125361
305	55188	125166
306	55365	124977
307	55539	124782
308	55712	124586
309	55889	124399
310	56063	124205
311	56232	123998
312	56405	123804
313	56578	123607
314	56747	123402
315	56915	123196
316	57083	122991
317	57252	122787
318	57424	122589
319	57592	122384
320	57769	122198
321	57945	122009
322	58118	121815
323	58285	121608
324	58462	121421
325	58637	121231
326	58808	121034
327	58985	120847
328	59162	120662
329	59332	120462
330	59499	120257
331	59673	120066
332	59852	119885
333	60020	119681
334	60192	119487
335	60363	119289
336	60532	119088
337	60709	118904
338	60885	118718
339	61055	118520
340	61235	118340
341	61440	118209
342	61632	118053
343	61813	117876
344	61999	117709
345	62178	117528
346	62350	117334
347	62531	117156
348	62725	117004
349	62913	116839
350	63096	116665
351	63280	116494
352	63460	116314
353	63639	116132
354	63813	115942
355	63999	115774
356	64173	115584
357	64351	115400
358	64541	115239
359	64719	115057
360	64894	114868
361	65069	114680
362	65240	114485
363	65421	114307
364	65596	114120
365	65818	114012
366	65997	113831
367	66183	113663
368	66370	113494
369	66559	113331
370	66729	113134
371	66907	112951
372	67085	112767
373	67257	112575
374	67437	112396
375	67620	112221
376	67826	112084
377	67997	111889
378	68172	111702
379	68358	111532
380	68538	111352
381	68720	111176
382	68918	111025
383	69098	110845
384	69302	110703
385	69487	110531
386	69679	110370
387	69864	110198
388	70042	110015
389	70252	109882
390	70434	109705
391	70623	109538
392	70811	109370
393	71043	109270
394	71256	109139
395	71529	109100
396	71714	108926
397	71909	108767
398	72127	108643
399	72316	108474
400	72501	108299
401	72690	108132
402	72890	107979
403	73070	107796
404	73247	107610
405	73423	107423
406	73606	107244
407	73781	107056
408	73968	106883
409	74174	106738
410	74354	106556
411	74528	106366
412	74718	106198
413	74904	106024
414	75102	105867
415	75295	105703
416	75466	105508
417	75687	105382
418	75881	105220
419	76076	105058
420	76259	104879
421	76443	104702
422	76636	104537
423	76825	104366
424	77000	104177
425	77187	104003
426	77375	103832
427	77557	103651
428	77739	103472
429	77928	103300
430	78112	103122
431	78292	102939
432	78464	102747
433	78661	102586
434	78852	102417
435	79042	102247
436	79217	102058
437	79611	102150
438	79810	101990
439	80003	101823
440	80189	101646
441	80377	101471
442	80561	101292
443	80747	101115
444	80930	100935
445	81118	100761
446	81299	100578
447	81485	100402
448	81669	100222
449	81858	100048
450	82036	99862
451	82223	99687
452	82406	99505
453	82592	99329
454	82780	99155
455	82964	98974
456	83147	98794
457	83328	98610
458	83512	98431
459	83694	98249
460	83866	98056
461	84083	97915
462	84296	97769
463	84544	97663
464	84733	97488
465	84931	97324
466	85115	97144
467	85302	96967
468	85502	96805
469	85699	96639
470	85913	96492
471	86100	96315
472	86283	96134
473	86470	95956
474	86659	95781
